model,total_sentences,entries_with_replacements,total_strict_matches,total_singular_plural_matches,average_strict_match_per_sentence,average_singular_plural_match_per_sentence
llama-3.2-1b_gsm_8k_test,937,929,874,256,0.9327641408751334,0.27321237993596587
mistral_gsm_8k_test,1275,1264,718,36,0.5631372549019608,0.02823529411764706
gemma-2-2b_gsm_8k_test,857,845,544,35,0.6347724620770129,0.040840140023337225
llama-2_gsm_8k_test,983,981,840,404,0.854526958290946,0.41098677517802645
llama-3_gsm_8k_test,1313,1222,794,67,0.6047220106626047,0.051028179741051026
llama-3.2-3b_gsm_8k_test,1215,1149,817,134,0.6724279835390946,0.1102880658436214
gemma-2_gsm_8k_test,1315,1172,630,47,0.4790874524714829,0.03574144486692015
